id	fr	de	file_name
726	Ensuite ils ne peuvent plus bouger et ils dorment pendant les six mois de leur digestion.	Dann können sie sich nicht mehr bewegen und schlafen die sechs Monate ihrer Verdauung.	le_petit_prince_1
727	J’ai alors beaucoup réfléchi sur les aventures de la jungle et, à mon tour, j’ai réussi, avec un crayon de couleur, à tracer mon premier dessin.	Ich habe dann viel über die Abenteuer im Dschungel nachgedacht und es ist mir schließlich gelungen, mit einem Buntstift mein erstes Bild zu zeichnen.	le_petit_prince_1
728	Mon dessin numéro 1.	Meine Zeichnung Nummer 1.	le_petit_prince_1
729	Il était comme ça :	Er war so:	le_petit_prince_1
730	J’ai montré mon chef-d’œuvre aux grandes personnes et je leur ai demandé si mon dessin leur faisait peur.	Ich zeigte den Erwachsenen mein Meisterwerk und fragte sie, ob meine Zeichnung ihnen Angst mache.	le_petit_prince_1
731	Elles m’ont répondu : «Pourquoi un chapeau ferait-il peur?»	Sie antworteten: „Warum sollte ein Hut gruselig sein?“	le_petit_prince_1
732	Mon dessin ne représentait pas un chapeau.	Meine Zeichnung zeigte keinen Hut.	le_petit_prince_1
733	Il représentait un serpent boa qui digérait un éléphant.	Es zeigte eine Boa Constrictor, die einen Elefanten verdaute.	le_petit_prince_1
734	J’ai alors dessiné l’intérieur du serpent boa, afin que les grandes personnes puissent comprendre.	Anschließend zeichnete ich das Innere der Boa Constrictor, damit auch Erwachsene es verstehen konnten.	le_petit_prince_1
735	Elles ont toujours besoin d’explications.	Sie brauchen immer Erklärungen.	le_petit_prince_1
736	Mon dessin numéro 2 était comme ça :	Meine zweite Zeichnung sah so aus:	le_petit_prince_1
737	Les grandes personnes m’ont conseillé de laisser de côté les dessins de serpents boas ouverts ou fermés, et de m’intéresser plutôt à la géographie, à l’histoire, au calcul et à la grammaire.	Die Erwachsenen rieten mir, Zeichnungen von offenen oder geschlossenen Boa Constrictors beiseite zu legen und mich stattdessen auf Geographie, Geschichte, Arithmetik und Grammatik zu konzentrieren.	le_petit_prince_1
738	C’est ainsi que j’ai abandonné, à l’âge de six ans, une magnifique carrière de peintre.	So gab ich im Alter von sechs Jahren eine großartige Karriere als Malerin auf.	le_petit_prince_1
739	J’avais été découragé par l’insuccès de mon dessin numéro 1 et de mon dessin numéro 2.	Ich war durch das Scheitern meiner Zeichnung Nummer 1 und meiner Zeichnung Nummer 2 entmutigt.	le_petit_prince_1
740	Les grandes personnes ne comprennent jamais rien toutes seules, et c’est fatigant, pour les enfants, de toujours et toujours leur donner des explications...	Erwachsene verstehen nie etwas von selbst, und es ist anstrengend für Kinder, ihnen ständig alles erklären zu müssen...	le_petit_prince_1
741	J’ai donc dû choisir un autre métier et j’ai appris à piloter des avions.	Deshalb musste ich mir einen anderen Beruf suchen und habe gelernt, Flugzeuge zu fliegen.	le_petit_prince_1
742	J’ai volé un peu partout dans le monde.	Ich bin schon in der ganzen Welt herumgeflogen.	le_petit_prince_1
743	Et la géographie, c’est exact, m’a beaucoup servi.	Und die Geographie, das stimmt, war mir sehr nützlich.	le_petit_prince_1
744	Je savais reconnaître, du premier coup d’œil, la Chine de l’Arizona.	Ich konnte auf den ersten Blick das China von Arizona erkennen.	le_petit_prince_1
745	C’est très utile, si l’on s’est égaré pendant la nuit.	Das ist sehr nützlich, falls man sich nachts verirrt.	le_petit_prince_1
746	J’ai ainsi eu, au cours de ma vie, des tas de contacts avec des tas de gens sérieux.	Im Laufe meines Lebens hatte ich viele Kontakte zu vielen ernsthaften Menschen.	le_petit_prince_1
747	J’ai beaucoup vécu chez les grandes personnes.	Ich habe viel Zeit mit Erwachsenen zusammengelebt.	le_petit_prince_1
748	Je les ai vues de très près.	Ich habe sie ganz genau beobachtet.	le_petit_prince_1
749	Ça n’a pas trop amélioré mon opinion.	Das hat meine Meinung nicht wesentlich verbessert.	le_petit_prince_1
750	Quand j’en rencontrais une qui me paraissait un peu lucide, je faisais l’expérience sur elle de mon dessin numéro 1 que j’ai toujours conservé je voulais savoir si elle était vraiment compréhensive.	Wenn ich eine traf, die einen halbwegs klaren Eindruck machte, experimentierte ich an ihr mit meiner Zeichnung Nummer 1, die ich immer aufbewahrt hatte; ich wollte wissen, ob sie wirklich verständnisvoll war.	le_petit_prince_1
751	Mais toujours elle me répondait : «C’est un chapeau.»	Aber sie antwortete mir immer: „Es ist ein Hut.“	le_petit_prince_1
752	Alors je ne lui parlais ni de serpents boas, ni de forêts vierges, ni d’étoiles.	Deshalb habe ich mit ihm nicht über Boa Constrictors, Urwälder oder Sterne gesprochen.	le_petit_prince_1
753	Je me mettais à sa portée.	Ich habe mich auf sein Niveau herabgelassen.	le_petit_prince_1
754	Je lui parlais de bridge, de golf, de politique et de cravates.	Ich unterhielt mich mit ihm über Bridge, Golf, Politik und Krawatten.	le_petit_prince_1
755	Et la grande personne était bien contente de connaître un homme aussi raisonnable...	Und der Erwachsene freute sich sehr, einen so vernünftigen Mann kennengelernt zu haben...	le_petit_prince_1
756	À Léon Werth.	An Leon Werth.	le_petit_prince_intro
757	Je demande pardon aux enfants d’avoir dédié ce livre à une grande personne.	Ich entschuldige mich bei den Kindern dafür, dass ich dieses Buch einem Erwachsenen widme.	le_petit_prince_intro
758	J’ai une excuse sérieuse : cette grande personne est le meilleur ami que j’ai au monde.	Ich habe eine triftige Entschuldigung: Diese großartige Person ist mein bester Freund auf der Welt.	le_petit_prince_intro
759	J’ai une autre excuse : cette grande personne peut tout comprendre, même les livres pour enfants.	Ich habe noch eine andere Ausrede: Dieser Erwachsene kann alles verstehen, sogar Kinderbücher.	le_petit_prince_intro
760	J’ai une troisième excuse : cette grande personne habite la France où elle a faim et froid.	Ich habe noch eine dritte Ausrede: Diese erwachsene Frau lebt in Frankreich, wo sie Hunger leidet und friert.	le_petit_prince_intro
761	Elle a bien besoin d’être consolée.	Sie braucht dringend Trost.	le_petit_prince_intro
762	Si toutes ces excuses ne suffisent pas, je veux bien dédier ce livre à l’enfant qu’a été autrefois cette grande personne.	Sollten all diese Ausreden nicht ausreichen, widme ich dieses Buch gerne dem Kind, das dieser Erwachsene einst war.	le_petit_prince_intro
763	Toutes les grandes personnes ont d’abord été des enfants. (Mais peu d’entre elles s’en souviennent.).	Alle Erwachsenen waren einmal Kinder. (Aber nur wenige erinnern sich daran.)	le_petit_prince_intro
764	Je corrige donc ma dédicace :	Ich korrigiere daher meine Widmung:	le_petit_prince_intro
765	À Léon Werth quand il était petit garçon.	An Léon Werth, als er noch ein kleiner Junge war.	le_petit_prince_intro
